,ID,Trabajo,Edad,Salario,Compra
0,15624510,1,19,19000,No
1,15810944,1,35,20000,No
2,15668575,0,26,43000,No
3,15603246,0,27,57000,No
4,15804002,1,19,76000,No
5,15728773,1,27,58000,No
6,15598044,0,27,84000,No
7,15694829,0,32,150000,Si
8,15600575,1,25,33000,No
9,15727311,0,35,65000,No
10,15570769,0,26,80000,No
11,15606274,0,26,52000,No
12,15746139,1,20,86000,No
13,15704987,1,32,18000,No
14,15628972,1,18,82000,No
15,15697686,1,29,80000,No
16,15733883,1,47,25000,Si
17,15617482,1,45,26000,Si
18,15704583,1,46,28000,Si
19,15621083,0,48,29000,Si
20,15649487,1,45,22000,Si
21,15736760,0,47,49000,Si
22,15714658,1,48,41000,Si
23,15599081,0,45,22000,Si
24,15705113,1,46,23000,Si
25,15631159,1,47,20000,Si
26,15792818,1,49,28000,Si
27,15633531,0,47,30000,Si
28,15744529,1,29,43000,No
29,15669656,1,31,18000,No
30,15581198,1,31,74000,No
31,15729054,0,27,137000,Si
32,15573452,0,21,16000,No
33,15776733,0,28,44000,No
34,15724858,1,27,90000,No
35,15713144,1,35,27000,No
36,15690188,0,33,28000,No
37,15689425,1,30,49000,No
38,15671766,0,26,72000,No
39,15782806,0,27,31000,No
40,15764419,0,27,17000,No
41,15591915,0,33,51000,No
42,15772798,1,35,108000,No
43,15792008,1,30,15000,No
44,15715541,0,28,84000,No
45,15639277,1,23,20000,No
46,15798850,1,25,79000,No
47,15776348,0,27,54000,No
48,15727696,1,30,135000,Si
49,15793813,0,31,89000,No
50,15694395,0,24,32000,No
51,15764195,0,18,44000,No
52,15744919,0,29,83000,No
53,15671655,0,35,23000,No
54,15654901,0,27,58000,No
55,15649136,0,24,55000,No
56,15775562,0,23,48000,No
57,15807481,1,28,79000,No
58,15642885,1,22,18000,No
59,15789109,0,32,117000,No
60,15814004,1,27,20000,No
61,15673619,1,25,87000,No
62,15595135,0,23,66000,No
63,15583681,1,32,120000,Si
64,15605000,0,59,83000,No
65,15718071,1,24,58000,No
66,15679760,1,24,19000,No
67,15654574,0,23,82000,No
68,15577178,0,22,63000,No
69,15595324,0,31,68000,No
70,15756932,1,25,80000,No
