id_comercio,id_bandera,id_sucursal,id_producto,productos_ean,productos_descripcion,productos_cantidad_presentacion,productos_unidad_medida_presentacion,productos_marca,productos_precio_lista,productos_precio_referencia,productos_cantidad_referencia,productos_unidad_medida_referencia,productos_precio_unitario_promo1,productos_leyenda_promo1,productos_precio_unitario_promo2,productos_leyenda_promo2
3,1.0,3.0,7791813421580.0,1.0,7UP FREE PET X 1.5L,1.0,unidad, ,2700.0,2700.0,1.0,unidad,,,,
3,1.0,3.0,7798260050226.0,1.0,ACEITE DE COCO NEUTRO 360ML,360.0,cm3, ,740.0,2055.56,1.0,l,,,,
3,1.0,3.0,23897.0,0.0,AFEITADORA BIC COMFORT  3,1.0,unidad, ,820.0,820.0,1.0,unidad,,,,
3,1.0,3.0,7790580109882.0,1.0,AGUILA EXTRAFINO 60% CACAO X 150 GR,1.0,unidad, ,6790.0,6790.0,1.0,unidad,,,,
3,1.0,3.0,7790040133594.0,1.0,AGUILA MINITORTA BROWNIE X 72G,1.0,unidad, ,1650.0,1650.0,1.0,unidad,,,,
3,1.0,3.0,7790040298705.0,1.0,AGUILA MINITORTA DDLECHE/MOUSSE SAB.VAINILLA X 72G,1.0,unidad, ,1650.0,1650.0,1.0,unidad,,,,
3,1.0,3.0,7791905023623.0,1.0,AKTIOL ALCOHOL EN AEROSOL X 143 ML,1.0,unidad, ,495.0,495.0,1.0,unidad,,,,
3,1.0,3.0,23956.0,0.0,ALFAJOR CHOCOLATE,1.0,unidad, ,1310.0,1310.0,1.0,unidad,,,,
3,1.0,3.0,23280.0,0.0,ALFAJORES DE MAICENA,1.0,unidad, ,1310.0,1310.0,1.0,unidad,,,,
3,1.0,3.0,7791274196522.0,1.0,ALGABO ALCOHOL EN GEL X 300 ML,1.0,unidad, ,300.0,300.0,1.0,unidad,,,,
3,1.0,3.0,7791337003392.0,1.0,Alimento líquido a base de almendra Silk1L Natural,1.0,unidad, ,830.0,830.0,1.0,unidad,,,,
3,1.0,3.0,7790513000354.0,1.0,ALMENDRAS AZUCAR ORG Y COCO X 90 GR,90.0,gr, ,325.0,3611.11,1.0,kg,,,,
3,1.0,3.0,5550000905003.0,1.0,ALMENDRAS TOSTADAS  Y SALADAS X 100 GR,100.0,gr, ,445.0,4450.0,1.0,kg,,,,
3,1.0,3.0,7790580119126.0,1.0,ARCOR BOMBONES BON O BON CAJA X 255G,1.0,unidad, ,1560.0,1560.0,1.0,unidad,,,,
3,1.0,3.0,7790580131371.0,1.0,ARCOR BOMBONES Y CHOCOLATE SURTIDO CAJA X 246G,1.0,unidad, ,6450.0,6450.0,1.0,unidad,,,,
3,1.0,3.0,7790580607418.0,1.0,ARCOR CHOCOLATE BLANCO TABLETA X 25 GR,1.0,unidad, ,1130.0,1130.0,1.0,unidad,,,,
3,1.0,3.0,7790580607210.0,1.0,ARCOR CHOCOLATE CON LECHE TABLETA X 25GR,1.0,unidad, ,1130.0,1130.0,1.0,unidad,,,,
3,1.0,3.0,23293.0,0.0,ARCOR OBLEA C/PASTA DE TURRON Y MANI FIBRA 25G,1.0,unidad, ,140.0,140.0,1.0,unidad,,,,
3,1.0,3.0,1339.0,0.0,ARCOR OBLEA RELLENA C/PASTA DE TURRON Y MANI X 25G,1.0,unidad, ,400.0,400.0,1.0,unidad,,,,
3,1.0,3.0,21777.0,0.0,ARCOR OBLEA RELLENA SABOR YOG FRUTILLA X 25G,25.0,gr, ,25.0,1000.0,1.0,kg,,,,
3,1.0,3.0,5550000905201.0,1.0,AVELLANAS PELADAS X 100 GR,100.0,gr, ,360.0,3600.0,1.0,kg,,,,
3,1.0,3.0,7792860016217.0,1.0,BABY DOLL CHUPETIN  X 4 UN. PAQ. X 24GR,1.0,unidad, ,945.0,945.0,1.0,unidad,,,,
3,1.0,3.0,7795947003773.0,1.0,BAGEL LOMITO AHUMADO Y CHEDDAR PAN SALVADO X UN,1.0,unidad, ,3100.0,3100.0,1.0,unidad,,,,
3,1.0,3.0,7790040991910.0,1.0,BAGLEY ALFAJOR BLANCO 3.0 X 73.5G,1.0,unidad, ,370.0,370.0,1.0,unidad,,,,
3,1.0,3.0,7790040375000.0,1.0,BAGLEY ALFAJOR NEGRO 3.0 X 73.5G,1.0,unidad, ,370.0,370.0,1.0,unidad,,,,
3,1.0,3.0,23442.0,0.0,BAGLEY CEREALES AVENA X 150 G,1.0,unidad, ,270.0,270.0,1.0,unidad,,,,
3,1.0,3.0,23441.0,0.0,BAGLEY CEREALES MAIZ X 189 G,1.0,unidad, ,270.0,270.0,1.0,unidad,,,,
3,1.0,3.0,7793360294600.0,1.0,BC JUGO MANZANA TETRA X 200CC,200.0,cm3, ,1160.0,5800.0,1.0,l,,,,
3,1.0,3.0,7793360106002.0,1.0,BC JUGO MULTIFRUTA TETRA X 1LT,1.0,l, ,520.0,520.0,1.0,l,,,,
3,1.0,3.0,7793360296000.0,1.0,BC JUGO MULTIFRUTA TETRA X 200CC,200.0,cm3, ,1160.0,5800.0,1.0,l,,,,
3,1.0,3.0,7793360246609.0,1.0,BC JUGO NARANJA TETRA X 200CC.,200.0,cm3, ,1160.0,5800.0,1.0,l,,,,
3,1.0,3.0,7622300854218.0,1.0,BELDENT INFINIT CHICLE SIN AZUCAR BERRY X 26.6 G,1.0,unidad, ,170.0,170.0,1.0,unidad,,,,
3,1.0,3.0,7622300845933.0,1.0,BELDENT INFINIT CHICLE SIN AZUCAR WILD X 26.6 G,26.6,gr, ,140.0,5263.16,1.0,kg,,,,
3,1.0,3.0,7622210681973.0,1.0,BELDENT INFINIT CHICLES MENTA X 8 GR,8.0,gr, ,55.0,6875.0,1.0,kg,,,,
3,1.0,3.0,7792184003313.0,1.0,BISCUIT BAÑADA GALLETITA 160G,160.0,gr, ,750.0,4687.5,1.0,kg,,,,
3,1.0,3.0,22679.0,0.0,BISCUIT BAÑADA GALLETITA 20G,20.0,gr, ,95.0,4750.0,1.0,kg,,,,
3,1.0,3.0,7792730020559.0,1.0,BIZNIKKE NEVADO CHOCOLATE TABLETA X 120 GR.,1.0,unidad, ,4870.0,4870.0,1.0,unidad,,,,
3,1.0,3.0,24192.0,0.0,BOCADO DE FRUTAS X UNIDAD,1.0,unidad, ,320.0,320.0,1.0,unidad,,,,
3,1.0,3.0,7790580722708.0,1.0,BOMBON TOFI LECHE X 15G,1.0,unidad, ,870.0,870.0,1.0,unidad,,,,
3,1.0,3.0,7790040613607.0,1.0,Bon O Bon Alfajor Chocolate Blanco x40 gr,1.0,unidad, ,1130.0,1130.0,1.0,unidad,,,,
3,1.0,3.0,7790040613706.0,1.0,BON O BON ALFAJOR CHOCOLATE NEGRO/LECHE X 40G,1.0,unidad, ,1130.0,1130.0,1.0,unidad,,,,
3,1.0,3.0,21586.0,0.0,BON-O-BON BOMBON AGUILA X 15G,1.0,unidad, ,490.0,490.0,1.0,unidad,,,,
3,1.0,3.0,21542.0,0.0,BON-O-BON BOMBON CHOCOLATE BLANCO X 15G,1.0,unidad, ,510.0,510.0,1.0,unidad,,,,
3,1.0,3.0,21587.0,0.0,BON-O-BON BOMBON CHOCOLINA X 15G,1.0,unidad, ,490.0,490.0,1.0,unidad,,,,
3,1.0,3.0,7792360072409.0,1.0,BONAFIDE BOCADITO DDL X 16G,1.0,unidad, ,860.0,860.0,1.0,unidad,,,,
3,1.0,3.0,21151.0,0.0,BROWNIE ARTESANAL,1.0,unidad, ,3520.0,3520.0,1.0,unidad,,,,
3,1.0,3.0,23273.0,0.0,BUDIN BANANA Y DDL,1.0,unidad, ,3080.0,3080.0,1.0,unidad,,,,
3,1.0,3.0,21701.0,0.0,BUDIN DE FRUTOS SECOS,1.0,unidad, ,3080.0,3080.0,1.0,unidad,,,,
3,1.0,3.0,21700.0,0.0,BUDIN DE LIMON Y ARANDANOS,1.0,unidad, ,3080.0,3080.0,1.0,unidad,,,,
3,1.0,3.0,7790407022011.0,1.0,CABSHA BOCADITO X 10G,1.0,unidad, ,470.0,470.0,1.0,unidad,,,,
3,1.0,3.0,19581.0,0.0,CACHAFAZ ALFAJOR CHOCOLATE CAJA X 6 UNIDADES,360.0,gr, ,1095.0,3041.67,1.0,kg,,,,
3,1.0,3.0,18674.0,0.0,CACHAFAZ ALFAJOR LIGHT DE ARROZ/DDL X 28G,1.0,unidad, ,430.0,430.0,1.0,unidad,,,,
3,1.0,3.0,7798128000271.0,1.0,CACHAFAZ ALFAJOR MOUSSE X 50G,1.0,unidad, ,2290.0,2290.0,1.0,unidad,,,,
3,1.0,3.0,21069.0,0.0,CACHAFAZ BARRA ARROZ BLANCO X 14G,14.0,gr, ,96.0,6857.14,1.0,kg,,,,
3,1.0,3.0,21072.0,0.0,CACHAFAZ BARRA ARROZ NEGRO X 14G,14.0,gr, ,200.0,14285.71,1.0,kg,,,,
3,1.0,3.0,7798128001896.0,1.0,CACHAFAZ CONITO NEGRO CAJA X 6 UNIDADES,228.0,gr, ,1460.0,6403.51,1.0,kg,,,,
3,1.0,3.0,7791249020098.0,1.0,CADBURY CHOCOLATE C/LECHE TRES SUEÑOS X 24G,24.0,gr, ,180.0,7500.0,1.0,kg,,,,
3,1.0,3.0,7622201818739.0,1.0,CADBURY CHOCOLATE C/LECHE TRES SUEÑOS X 82G,1.0,unidad, ,4070.0,4070.0,1.0,unidad,,,,
3,1.0,3.0,7622210733887.0,1.0,CADBURY CHOCOLATE INTENSE X 24G,24.0,gr, ,150.0,6250.0,1.0,kg,,,,
3,1.0,3.0,7622201818654.0,1.0,CADBURY CHOCOLATE RELLENO YOGHURT FRUTILLA X 29G,1.0,unidad, ,1790.0,1790.0,1.0,unidad,,,,
3,1.0,3.0,7622201387778.0,1.0,Caram. Halls Cherry Nvo 28 Grs,1.0,unidad, ,1150.0,1150.0,1.0,unidad,,,,
3,1.0,3.0,21102.0,0.0,CARDA PAN PARA TOSTADAS X 2 UN,1.0,unidad, ,95.0,95.0,1.0,unidad,,,,
3,1.0,3.0,7790895649301.0,1.0,CEPITA 20% NARANJA 200ML,1.0,unidad, ,1160.0,1160.0,1.0,unidad,,,,
3,1.0,3.0,7790895009853.0,1.0,CEPITA JUGO MANZANA BOTELLA X 1L,1.0,unidad, ,3050.0,3050.0,1.0,unidad,,,,
3,1.0,3.0,7790895000720.0,1.0,CEPITA JUGO MANZANA TETRA X 200CC.,1.0,unidad, ,1160.0,1160.0,1.0,unidad,,,,
3,1.0,3.0,7790895647017.0,1.0,CEPITA JUGO MANZANA ZINC TETRA X 1 LT.,1.0,unidad, ,2210.0,2210.0,1.0,unidad,,,,
3,1.0,3.0,7790895000737.0,1.0,CEPITA JUGO MULTIFRUTA TETRA X 200CC,1.0,unidad, ,1160.0,1160.0,1.0,unidad,,,,
3,1.0,3.0,7790895647123.0,1.0,CEPITA JUGO MULTIFRUTA ZINC TETRA X 1 LT.,1.0,unidad, ,2210.0,2210.0,1.0,unidad,,,,
3,1.0,3.0,7790895642036.0,1.0,CEPITA JUGO NARANJA  0% PET X 1L,1.0,unidad, ,710.0,710.0,1.0,unidad,,,,
3,1.0,3.0,7790895009815.0,1.0,CEPITA JUGO NARANJA BOTELLA X1L,1.0,unidad, ,3050.0,3050.0,1.0,unidad,,,,
3,1.0,3.0,7790895648267.0,1.0,CEPITA NARANJA 20% 1L,1.0,unidad, ,2210.0,2210.0,1.0,unidad,,,,
3,1.0,3.0,4429.0,0.0,CEREAL FORT! BARRA DE CEREAL MANZ Y ALM  X 22G,1.0,unidad, ,170.0,170.0,1.0,unidad,,,,
3,1.0,3.0,4427.0,0.0,CEREAL FORT! BARRA DE CEREALES X 23 GR.,1.0,unidad, ,170.0,170.0,1.0,unidad,,,,
3,1.0,3.0,22630.0,0.0,CEREAL MIX BARRA DE CEREAL C/FRUTILLA&YOGHURT X26G,1.0,unidad, ,930.0,930.0,1.0,unidad,,,,
3,1.0,3.0,1342.0,0.0,CEREAL MIX BARRA DE CEREAL CHOCOLATE X 23G,1.0,unidad, ,930.0,930.0,1.0,unidad,,,,
3,1.0,3.0,23832.0,0.0,CEREAL MIX BARRA DE CEREAL GRANOLA X25g,25.0,gr, ,60.0,2400.0,1.0,kg,,,,
3,1.0,3.0,21134.0,0.0,CEREAL MIX BARRA DE CEREAL PAS/CHOC X 26G,1.0,unidad, ,290.0,290.0,1.0,unidad,,,,
3,1.0,3.0,1341.0,0.0,CEREAL MIX BARRA DE CEREAL X 23G,1.0,unidad, ,930.0,930.0,1.0,unidad,,,,
3,1.0,3.0,22631.0,0.0,CEREAL MIX BARRA DE CEREAL YOGH/FRUTIL.L.X26g,1.0,unidad, ,930.0,930.0,1.0,unidad,,,,
3,1.0,3.0,7790040126282.0,1.0,CEREAL MIX BARRA DE CEREAL YOGHURT Y VAINILLAX26g,1.0,unidad, ,290.0,290.0,1.0,unidad,,,,
3,1.0,3.0,18662.0,0.0,CEREAL MIX GALL. SAB. AVENA Y PASAS X 180G,1.0,unidad, ,360.0,360.0,1.0,unidad,,,,
3,1.0,3.0,7622300872816.0,1.0,CEREALITAS GALLETITAS AVENA CHOC X 231GR,231.0,gr, ,330.0,1428.57,1.0,kg,,,,
3,1.0,3.0,7622300872786.0,1.0,CEREALITAS GALLETITAS GRANOLA X 231GR,231.0,gr, ,330.0,1428.57,1.0,kg,,,,
3,1.0,3.0,7622300840525.0,1.0,CEREALITAS GALLETITAS SALVADO X 202GR,1.0,unidad, ,210.0,210.0,1.0,unidad,,,,
3,1.0,3.0,23269.0,0.0,CHEESE CAKE X UN,1.0,unidad, ,350.0,350.0,1.0,unidad,,,,
3,1.0,3.0,7790070418296.0,1.0,Chocoarroz Blanco est. 22g,1.0,unidad, ,1050.0,1050.0,1.0,unidad,,,,
3,1.0,3.0,7790070432070.0,1.0,Chocoarroz DL 22 gr,1.0,unidad, ,1050.0,1050.0,1.0,unidad,,,,
3,1.0,3.0,7790580103521.0,1.0,CHOCOLATE LECHE CON CONFITES COFLER X 55 G,1.0,unidad, ,3110.0,3110.0,1.0,unidad,,,,
3,1.0,3.0,7798304840851.0,1.0,CHOMP Hel DDL c/ DDL & Alm FROZEN 180g,1.0,unidad, ,5930.0,5930.0,1.0,unidad,,,,
