id_comercio,id_bandera,id_sucursal,sucursales_nombre,sucursales_tipo,sucursales_calle,sucursales_numero,sucursales_latitud,sucursales_longitud,sucursales_observaciones,sucursales_barrio,sucursales_codigo_postal,sucursales_localidad,sucursales_provincia,sucursales_lunes_horario_atencion,sucursales_martes_horario_atencion,sucursales_miercoles_horario_atencion,sucursales_jueves_horario_atencion,sucursales_viernes_horario_atencion,sucursales_sabado_horario_atencion,sucursales_domingo_horario_atencion
3,1.0,2.0,ACASSUSO,Autoservicio,AV. LIBERTADOR,15301.0,-34.47436,-58.50185,,Acassuso,1641,ACASSUSO,AR-B,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00
3,1.0,3.0,RIVER,Autoservicio,AV. F.ALCORTA,7786.0,-34.546397,-58.451884,,Belgrano,1428,CAPITAL FEDERAL,AR-C,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00
3,1.0,29.0,CABILDO,Autoservicio,CABILDO,4701.0,-34.541473,-58.47384,,Nuñez,1429,CAPITAL FEDERAL,AR-C,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00
3,1.0,31.0,CENTENARIO,Autoservicio,AV. F. ALCORTA,3099.0,-34.575574,-58.397682,,Palermo,1425,CAPITAL FEDERAL,AR-C,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00
3,1.0,36.0,LINCOLN Y NUEVA YORK,Autoservicio,AV. LINCOLN,3999.0,-34.599622,-58.5103,,Villa Devoto,1419,CAPITAL FEDERAL,AR-C,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00
3,1.0,56.0,OLIVOS,Autoservicio,AV. LIBERTADOR,2365.0,-34.50855,-58.47972,,Olivos,1636,OLIVOS,AR-B,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00
3,1.0,65.0,LA PLATA,Autoservicio,DIAGONAL 74 ESQ. 18 Y 19,2291.0,-34.930175,-57.953545,,Casco Urbano,1900,LA PLATA,AR-B,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00
3,1.0,66.0,LA PLATA,Autoservicio,AV. 7 ESQ. 45,641.0,-34.911498,-57.956494,,Casco Urbano,1900,LA PLATA,AR-B,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00
3,1.0,584.0,LOMAS DE ZAMORA,Autoservicio,HIPOLITO YRIGOYEN,8504.0,-34.754573,-58.401176,,Lomas de Zamora,1832,LOMAS DE ZAMORA,AR-B,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00
3,1.0,599.0,VIRREY DEL PINO,Autoservicio,CRAMER,1691.0,-34.56902,-58.457493,,Belgrano R,C1426APA,CAPITAL FEDERAL,AR-C,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00
3,1.0,631.0,REMEDIOS DE ESCALADA,Autoservicio,MALABIA,302.0,-34.736425,-58.390188,,Remedios de Escalada,1826,REMEDIOS DE ESCALADA,AR-B,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00
3,1.0,1066.0,SALGUERO,Autoservicio,AV. CORDOBA,3710.0,-34.597814,-58.419089,,Almagro,1188,CAPITAL FEDERAL,AR-C,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00
3,1.0,1068.0,GIUFRA,Autoservicio,AV. PASEO COLON,849.0,-34.618135,-58.369851,,San Telmo,1063,CAPITAL FEDERAL,AR-C,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00
3,1.0,1132.0,JORGE NEWBERY,Autoservicio,AV. CORRIENTES,6535.0,-34.588729,-58.450443,,Chacarita,1427,CAPITAL FEDERAL,AR-C,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00
3,1.0,1157.0,SARMIENTO,Autoservicio,LIBERTADOR,14002.0,-34.48337,-58.48977,,Martínez,1640,MARTINEZ,AR-B,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00
3,1.0,1158.0,CETZ,Autoservicio,AV. MARQUEZ,2984.0,-34.493225,-58.549103,,San Isidro,1642,SAN ISIDRO,AR-B,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00
3,1.0,1230.0,CERRITO,Autoservicio,AV. DEL LIBERTADOR,550.0,-34.589266,-58.381335,,Retiro,C1001ABS,CAPITAL FEDERAL,AR-C,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00
3,1.0,1291.0,PILAR NORTE,Autoservicio,RUTA 8 ESQ. LAS MAGNOLIAS KM 50,,-34.44959,-58.86835,,Presidente Derqui,1629,PILAR,AR-B,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00
3,1.0,1344.0,LA PLATA,Autoservicio,AV. 7 ESQ. CALLE 532,623.0,-34.90023,-57.969828,,Tolosa,1900,LA PLATA,AR-B,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00
3,1.0,1389.0,CHASCOMUS,Autoservicio,RUTA 2 KM 115.5,,-35.528798,-58.012131,,San Cayetano,7130,CHASCOMUS,AR-B,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00
3,1.0,1401.0,SARANDI,Autoservicio,AV. MITRE,3215.0,-34.68287,-58.344031,,Sarandí,1872,SARANDI,AR-B,06:00 a 22:00,06:00 a 22:00,06:00 a 22:00,06:00 a 22:00,06:00 a 22:00,08:00 a 22:00,08:00 a 22:00
3,1.0,1425.0,ITUZAINGO,Autoservicio,AUTOPISTA ACCESO OESTE Y GABRIELA MISTRAL Km. 14.8,,-34.63133,-58.67813,,Ituzaingó,1714,ITUZAINGO,AR-B,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00
3,1.0,1426.0,CIUDADELA,Autoservicio,ACCESO OESTE Y CALLE REPUBLICA KM 3.7,,-34.629473,-58.558307,,Ciudadela,1702,CIUDADELA,AR-B,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00,00:00 a 24:00
